product_id,product_name,category,price,cost
P0076,Table Lamp,Home & Kitchen,8191.74,4897.94
P0077,Table Lamp - Variant 2,Home & Kitchen,1474.07,955.04
P0078,Table Lamp - Variant 3,Home & Kitchen,8872.72,5309.53
P0079,Storage Organizer,Home & Kitchen,6113.79,4293.86
P0080,Storage Organizer - Variant 2,Home & Kitchen,2290.21,1593.17
P0081,Storage Organizer - Variant 3,Home & Kitchen,3435.49,2323.98
P0082,Vacuum Cleaner,Home & Kitchen,5774.06,3794.45
P0083,Vacuum Cleaner - Variant 2,Home & Kitchen,993.55,712.44
P0084,Vacuum Cleaner - Variant 3,Home & Kitchen,3021.86,1774.75
P0085,Cutlery Set,Home & Kitchen,557.82,372.72
P0086,Cutlery Set - Variant 2,Home & Kitchen,6161.57,3409.3
P0087,Cutlery Set - Variant 3,Home & Kitchen,4705.42,2801.13
P0088,Curtains,Home & Kitchen,5876.52,3437.02
P0089,Curtains - Variant 2,Home & Kitchen,6279.25,3939.27
P0090,Curtains - Variant 3,Home & Kitchen,8442.22,4875.42
P0091,Face Serum,Beauty & Personal Care,1088.09,623.14
P0092,Face Serum - Variant 2,Beauty & Personal Care,2780.61,2017.24
P0093,Face Serum - Variant 3,Beauty & Personal Care,847.03,577.67
P0094,Sunscreen SPF50,Beauty & Personal Care,2468.94,1632.07
P0095,Sunscreen SPF50 - Variant 2,Beauty & Personal Care,1634.99,978.33
P0096,Sunscreen SPF50 - Variant 3,Beauty & Personal Care,369.0,269.16
P0097,Hair Dryer,Beauty & Personal Care,2710.21,1833.78
P0098,Hair Dryer - Variant 2,Beauty & Personal Care,1082.19,670.79
P0099,Hair Dryer - Variant 3,Beauty & Personal Care,2204.27,1607.84
P0100,Electric Trimmer,Beauty & Personal Care,2671.55,1886.05
P0101,Electric Trimmer - Variant 2,Beauty & Personal Care,1960.89,1111.49
P0102,Electric Trimmer - Variant 3,Beauty & Personal Care,567.72,414.27
P0103,Lipstick Set,Beauty & Personal Care,1857.64,1025.12
P0104,Lipstick Set - Variant 2,Beauty & Personal Care,393.27,268.49
P0105,Lipstick Set - Variant 3,Beauty & Personal Care,113.68,66.18
P0106,Moisturizer,Beauty & Personal Care,1690.33,1163.59
P0107,Moisturizer - Variant 2,Beauty & Personal Care,1989.69,1183.57
P0108,Moisturizer - Variant 3,Beauty & Personal Care,2164.32,1293.07
P0109,Perfume,Beauty & Personal Care,1042.66,729.13
P0110,Perfume - Variant 2,Beauty & Personal Care,1982.94,1427.41
P0111,Perfume - Variant 3,Beauty & Personal Care,2006.08,1331.36
P0112,Shampoo Combo,Beauty & Personal Care,370.66,231.12
P0113,Shampoo Combo - Variant 2,Beauty & Personal Care,868.09,519.81
P0114,Shampoo Combo - Variant 3,Beauty & Personal Care,2920.73,1836.03
P0115,Face Wash,Beauty & Personal Care,2685.94,1816.31
P0116,Face Wash - Variant 2,Beauty & Personal Care,2403.95,1563.84
P0117,Face Wash - Variant 3,Beauty & Personal Care,1772.02,1149.16
P0118,Nail Care Kit,Beauty & Personal Care,665.2,461.98
P0119,Nail Care Kit - Variant 2,Beauty & Personal Care,913.24,506.72
P0120,Nail Care Kit - Variant 3,Beauty & Personal Care,1970.87,1153.79
P0121,Yoga Mat,Sports & Fitness,6600.07,4889.24
P0122,Yoga Mat - Variant 2,Sports & Fitness,6428.59,4011.64
P0123,Yoga Mat - Variant 3,Sports & Fitness,402.56,296.15
P0124,Adjustable Dumbbells,Sports & Fitness,3167.83,2354.75
P0125,Adjustable Dumbbells - Variant 2,Sports & Fitness,6755.25,4867.85
P0126,Adjustable Dumbbells - Variant 3,Sports & Fitness,2271.81,1424.47
P0127,Resistance Bands,Sports & Fitness,6001.62,3681.3
P0128,Resistance Bands - Variant 2,Sports & Fitness,1434.6,948.79
P0129,Resistance Bands - Variant 3,Sports & Fitness,6571.24,4528.94
P0130,Cricket Bat,Sports & Fitness,4118.41,2345.17
P0131,Cricket Bat - Variant 2,Sports & Fitness,4419.55,3305.87
P0132,Cricket Bat - Variant 3,Sports & Fitness,1237.56,808.95
P0133,Football,Sports & Fitness,6177.4,4312.77
P0134,Football - Variant 2,Sports & Fitness,4969.01,3431.09
P0135,Football - Variant 3,Sports & Fitness,2707.59,1648.16
P0136,Fitness Tracker,Sports & Fitness,5721.72,4073.99
P0137,Fitness Tracker - Variant 2,Sports & Fitness,6108.38,4475.29
P0138,Fitness Tracker - Variant 3,Sports & Fitness,3724.99,2422.37
P0139,Skipping Rope,Sports & Fitness,5647.58,3840.31
P0140,Skipping Rope - Variant 2,Sports & Fitness,5002.18,3547.34
P0141,Skipping Rope - Variant 3,Sports & Fitness,6262.04,3867.43
P0142,Gym Bag,Sports & Fitness,2815.41,1601.4
P0143,Gym Bag - Variant 2,Sports & Fitness,4173.48,2325.41
P0144,Gym Bag - Variant 3,Sports & Fitness,3418.51,2251.19
P0145,Badminton Racket,Sports & Fitness,2218.83,1482.55
P0146,Badminton Racket - Variant 2,Sports & Fitness,503.35,280.6
P0147,Badminton Racket - Variant 3,Sports & Fitness,5810.42,3614.3
P0148,Protein Shaker,Sports & Fitness,1150.31,752.82
P0149,Protein Shaker - Variant 2,Sports & Fitness,5457.96,3237.47
P0150,Protein Shaker - Variant 3,Sports & Fitness,4472.37,2536.14
P0151,Self-Help Bestseller,Books,145.51,95.49
P0152,Self-Help Bestseller - Variant 2,Books,585.57,396.72
P0153,Self-Help Bestseller - Variant 3,Books,752.48,560.73
P0154,Fiction Novel,Books,563.67,346.43
P0155,Fiction Novel - Variant 2,Books,814.67,492.2
P0156,Fiction Novel - Variant 3,Books,494.07,279.49
P0157,Cookbook,Books,121.82,90.45
P0158,Cookbook - Variant 2,Books,851.38,586.77
P0159,Cookbook - Variant 3,Books,467.06,273.07
P0160,Children's Story Set,Books,239.79,143.89
P0161,Children's Story Set - Variant 2,Books,593.3,411.11
P0162,Children's Story Set - Variant 3,Books,693.18,420.06
P0163,Biography,Books,958.38,668.55
P0164,Biography - Variant 2,Books,597.92,402.01
P0165,Biography - Variant 3,Books,476.64,285.77
P0166,Business Strategy Book,Books,419.38,294.22
P0167,Business Strategy Book - Variant 2,Books,111.95,64.17
P0168,Business Strategy Book - Variant 3,Books,140.4,78.36
P0169,Comic Book Bundle,Books,868.91,600.18
P0170,Comic Book Bundle - Variant 2,Books,525.76,299.46
P0171,Comic Book Bundle - Variant 3,Books,541.45,349.07
P0172,Poetry Collection,Books,254.88,162.3
P0173,Poetry Collection - Variant 2,Books,457.65,308.08
P0174,Poetry Collection - Variant 3,Books,670.58,374.89
P0175,History Book,Books,436.15,294.48
P0176,History Book - Variant 2,Books,551.82,398.03
P0177,History Book - Variant 3,Books,691.82,403.05
P0178,Travel Guide,Books,162.51,110.26
P0179,Travel Guide - Variant 2,Books,122.86,81.97
P0180,Travel Guide - Variant 3,Books,945.21,628.65
P0181,Building Blocks Set,Toys & Baby,1449.37,983.63
P0182,Building Blocks Set - Variant 2,Toys & Baby,1684.15,1110.06
P0183,Building Blocks Set - Variant 3,Toys & Baby,3302.91,2071.65
P0184,Remote Control Car,Toys & Baby,3368.99,2462.97
P0185,Remote Control Car - Variant 2,Toys & Baby,804.9,453.86
P0186,Remote Control Car - Variant 3,Toys & Baby,486.61,269.41
P0187,Baby Stroller,Toys & Baby,465.38,319.53
P0188,Baby Stroller - Variant 2,Toys & Baby,387.48,237.83
P0189,Baby Stroller - Variant 3,Toys & Baby,2979.33,1652.5
P0190,Soft Toy,Toys & Baby,2877.47,1744.81
P0191,Soft Toy - Variant 2,Toys & Baby,544.85,375.59
P0192,Soft Toy - Variant 3,Toys & Baby,2255.96,1636.69
P0193,Puzzle Set,Toys & Baby,2611.49,1855.98
P0194,Puzzle Set - Variant 2,Toys & Baby,1093.82,640.42
P0195,Puzzle Set - Variant 3,Toys & Baby,2663.56,1894.77
P0196,Baby Feeding Bottle,Toys & Baby,3467.19,2193.08
P0197,Baby Feeding Bottle - Variant 2,Toys & Baby,1395.26,984.05
P0198,Baby Feeding Bottle - Variant 3,Toys & Baby,1290.69,950.14
P0199,Educational Tablet,Toys & Baby,3024.68,1923.09
P0200,Educational Tablet - Variant 2,Toys & Baby,2664.42,1867.51
P0201,Educational Tablet - Variant 3,Toys & Baby,494.46,361.21
P0202,Diaper Pack,Toys & Baby,1841.6,1317.28
P0203,Diaper Pack - Variant 2,Toys & Baby,1221.17,890.36
P0204,Diaper Pack - Variant 3,Toys & Baby,1452.83,802.21
P0205,Kids Bicycle,Toys & Baby,3182.03,1808.21
P0206,Kids Bicycle - Variant 2,Toys & Baby,1218.7,901.85
P0207,Kids Bicycle - Variant 3,Toys & Baby,3333.53,2215.76
P0208,Board Game,Toys & Baby,2265.65,1449.31
P0209,Board Game - Variant 2,Toys & Baby,1131.26,696.55
P0210,Board Game - Variant 3,Toys & Baby,2401.94,1682.5
P0211,Basmati Rice 5kg,Grocery,1196.79,847.24
P0212,Basmati Rice 5kg - Variant 2,Grocery,181.25,117.61
P0213,Basmati Rice 5kg - Variant 3,Grocery,132.46,87.41
P0214,Cooking Oil 1L,Grocery,689.22,501.44
P0215,Cooking Oil 1L - Variant 2,Grocery,557.83,319.87
P0216,Cooking Oil 1L - Variant 3,Grocery,256.34,180.03
P0217,Assorted Snacks Box,Grocery,945.42,539.1
P0218,Assorted Snacks Box - Variant 2,Grocery,170.95,117.99
P0219,Assorted Snacks Box - Variant 3,Grocery,154.51,110.38
P0220,Green Tea Pack,Grocery,1073.05,607.64
P0221,Green Tea Pack - Variant 2,Grocery,172.01,128.55
P0222,Green Tea Pack - Variant 3,Grocery,591.69,369.29
P0223,Instant Noodles Pack,Grocery,1227.56,907.72
P0224,Instant Noodles Pack - Variant 2,Grocery,1478.7,1036.09
P0225,Instant Noodles Pack - Variant 3,Grocery,594.58,336.95
P0226,Honey 500g,Grocery,1175.86,778.04
P0227,Honey 500g - Variant 2,Grocery,664.12,485.65
P0228,Honey 500g - Variant 3,Grocery,210.24,136.35
P0229,Almonds 250g,Grocery,65.46,42.14
P0230,Almonds 250g - Variant 2,Grocery,130.64,74.96
P0231,Almonds 250g - Variant 3,Grocery,219.41,149.16
P0232,Coffee Powder,Grocery,1130.77,753.85
P0233,Coffee Powder - Variant 2,Grocery,1444.15,902.56
P0234,Coffee Powder - Variant 3,Grocery,463.28,335.28
P0235,Breakfast Cereal,Grocery,373.21,277.16
P0236,Breakfast Cereal - Variant 2,Grocery,66.62,49.56
P0237,Breakfast Cereal - Variant 3,Grocery,111.58,81.26
P0238,Spice Combo Pack,Grocery,814.17,609.48
P0239,Spice Combo Pack - Variant 2,Grocery,156.01,103.09
P0240,Spice Combo Pack - Variant 3,Grocery,1454.49,952.14
