order_id,customer_id,order_date,order_status
O000301,C00369,2024-09-26,Shipped
O000302,C01452,2024-10-08,Delivered
O000303,C00004,2024-11-07,Delivered
O000304,C00953,2023-11-01,Cancelled
O000305,C00242,2023-08-26,Cancelled
O000306,C00425,2024-02-28,Returned
O000307,C00850,2023-10-20,Delivered
O000308,C00684,2024-02-02,Delivered
O000309,C01306,2024-05-18,Delivered
O000310,C01312,2024-05-01,Delivered
O000311,C00522,2023-10-23,Returned
O000312,C00615,2023-05-03,Shipped
O000313,C00664,2023-11-18,Returned
O000314,C00234,2023-04-01,Cancelled
O000315,C00700,2024-11-11,Delivered
O000316,C01166,2023-09-24,Shipped
O000317,C00360,2023-05-01,Delivered
O000318,C00972,2023-01-11,Returned
O000319,C01323,2024-03-02,Delivered
O000320,C00319,2024-03-16,Cancelled
O000321,C01100,2023-09-15,Delivered
O000322,C00115,2023-02-15,Returned
O000323,C01158,2023-11-17,Cancelled
O000324,C00647,2023-08-22,Shipped
O000325,C00039,2024-04-18,Delivered
O000326,C00680,2024-02-19,Returned
O000327,C00725,2023-09-26,Delivered
O000328,C00575,2023-06-05,Returned
O000329,C00695,2024-12-01,Delivered
O000330,C00340,2023-11-21,Shipped
O000331,C00798,2024-05-20,Delivered
O000332,C01445,2023-04-20,Returned
O000333,C01454,2023-12-11,Delivered
O000334,C00487,2023-01-09,Delivered
O000335,C00620,2023-12-15,Delivered
O000336,C00620,2024-12-17,Delivered
O000337,C00767,2023-10-04,Returned
O000338,C00414,2023-02-02,Delivered
O000339,C01037,2023-01-15,Delivered
O000340,C00989,2023-10-26,Shipped
O000341,C00697,2023-05-05,Delivered
O000342,C00636,2023-01-24,Returned
O000343,C00294,2024-06-11,Returned
O000344,C01386,2023-11-28,Delivered
O000345,C00941,2023-07-07,Delivered
O000346,C01070,2024-11-23,Delivered
O000347,C01218,2023-04-01,Returned
O000348,C00683,2024-12-03,Delivered
O000349,C00212,2023-08-02,Shipped
O000350,C01350,2024-11-25,Cancelled
O000351,C00047,2024-02-10,Shipped
O000352,C00640,2024-09-25,Cancelled
O000353,C00658,2024-12-07,Delivered
O000354,C00587,2023-07-07,Delivered
O000355,C00654,2024-12-18,Returned
O000356,C00241,2023-10-15,Delivered
O000357,C00323,2023-10-05,Delivered
O000358,C00032,2023-09-04,Shipped
O000359,C01053,2024-01-18,Delivered
O000360,C01112,2023-05-07,Delivered
O000361,C00653,2024-01-18,Delivered
O000362,C00581,2024-01-05,Shipped
O000363,C00351,2024-06-08,Delivered
O000364,C01256,2024-09-10,Delivered
O000365,C00909,2023-11-18,Delivered
O000366,C00060,2023-08-05,Delivered
O000367,C00217,2023-07-22,Delivered
O000368,C00177,2023-06-02,Delivered
O000369,C00367,2023-02-13,Cancelled
O000370,C01214,2023-09-20,Cancelled
O000371,C01414,2023-07-27,Cancelled
O000372,C01263,2024-12-15,Delivered
O000373,C00406,2024-01-10,Cancelled
O000374,C01374,2023-09-25,Returned
O000375,C00161,2024-02-18,Returned
O000376,C00191,2023-04-25,Returned
O000377,C01431,2023-11-26,Delivered
O000378,C00934,2024-03-04,Delivered
O000379,C01455,2023-12-22,Returned
O000380,C00475,2023-10-15,Delivered
O000381,C01264,2024-12-05,Delivered
O000382,C00803,2024-11-12,Delivered
O000383,C00677,2024-03-23,Returned
O000384,C00666,2024-01-28,Delivered
O000385,C00134,2024-03-16,Delivered
O000386,C00720,2023-06-04,Delivered
O000387,C00350,2023-10-15,Delivered
O000388,C00714,2023-02-25,Shipped
O000389,C00261,2023-12-19,Shipped
O000390,C01463,2024-01-04,Returned
O000391,C00668,2023-06-04,Shipped
O000392,C00146,2024-12-21,Returned
O000393,C01092,2024-11-10,Delivered
O000394,C01210,2024-05-13,Delivered
O000395,C01272,2024-01-08,Delivered
O000396,C00326,2024-10-18,Delivered
O000397,C00427,2023-04-13,Returned
O000398,C01211,2024-07-23,Delivered
O000399,C01116,2023-04-26,Cancelled
O000400,C00355,2024-07-08,Cancelled
O000401,C01515,2023-07-22,Cancelled
O000402,C00997,2024-11-19,Delivered
O000403,C01221,2024-12-19,Delivered
O000404,C00200,2023-04-11,Returned
O000405,C00361,2023-11-15,Delivered
O000406,C00143,2024-12-13,Shipped
O000407,C01222,2023-12-04,Returned
O000408,C00777,2024-10-27,Delivered
O000409,C01321,2024-02-16,Cancelled
O000410,C00186,2023-10-02,Delivered
O000411,C01547,2023-07-27,Cancelled
O000412,C00001,2023-06-26,Returned
O000413,C00928,2024-06-05,Shipped
O000414,C00799,2023-10-10,Shipped
O000415,C00422,2023-12-19,Cancelled
O000416,C01168,2023-12-11,Returned
O000417,C00624,2024-02-22,Delivered
O000418,C00706,2024-10-23,Delivered
O000419,C00017,2024-12-19,Shipped
O000420,C00828,2023-10-17,Returned
O000421,C00603,2024-09-05,Delivered
O000422,C00109,2024-06-12,Delivered
O000423,C00736,2024-02-23,Delivered
O000424,C00578,2024-12-28,Returned
O000425,C00885,2023-06-01,Cancelled
O000426,C00808,2023-03-19,Cancelled
O000427,C01458,2024-10-11,Delivered
O000428,C00782,2023-11-13,Delivered
O000429,C00433,2024-10-18,Cancelled
O000430,C00973,2024-11-06,Delivered
O000431,C00788,2023-02-07,Returned
O000432,C00855,2024-11-12,Delivered
O000433,C01373,2023-11-10,Delivered
O000434,C00024,2023-12-05,Delivered
O000435,C00033,2024-03-21,Delivered
O000436,C00997,2024-11-24,Cancelled
O000437,C00934,2023-01-14,Returned
O000438,C00872,2023-12-23,Shipped
O000439,C01044,2024-05-06,Delivered
O000440,C00922,2024-05-18,Delivered
O000441,C00463,2024-05-12,Delivered
O000442,C01021,2023-04-14,Returned
O000443,C01459,2023-08-24,Shipped
O000444,C00842,2023-09-09,Shipped
O000445,C00752,2024-08-19,Delivered
O000446,C01164,2023-07-02,Delivered
O000447,C00232,2023-06-23,Shipped
O000448,C01415,2024-12-16,Delivered
O000449,C01538,2023-01-05,Returned
O000450,C00953,2024-12-09,Shipped
O000451,C01072,2024-04-03,Shipped
O000452,C00503,2024-09-03,Delivered
O000453,C01360,2023-08-21,Cancelled
O000454,C01298,2023-01-03,Shipped
O000455,C00640,2024-06-26,Shipped
O000456,C00704,2024-09-02,Shipped
O000457,C00023,2024-06-25,Delivered
O000458,C01050,2023-04-15,Delivered
O000459,C01503,2024-06-19,Delivered
O000460,C00723,2024-06-14,Returned
O000461,C00593,2024-04-10,Delivered
O000462,C01424,2024-06-02,Shipped
O000463,C00623,2024-10-24,Cancelled
O000464,C01155,2024-03-26,Delivered
O000465,C01174,2023-03-02,Delivered
O000466,C00598,2023-12-22,Returned
O000467,C00056,2023-03-24,Delivered
O000468,C00169,2023-10-16,Delivered
O000469,C00517,2023-10-17,Delivered
O000470,C00576,2023-02-20,Delivered
O000471,C00527,2023-09-28,Delivered
O000472,C00229,2023-03-24,Shipped
O000473,C01212,2024-08-06,Cancelled
O000474,C01350,2024-12-05,Delivered
O000475,C00371,2023-02-12,Returned
O000476,C00068,2024-12-17,Delivered
O000477,C00298,2023-12-03,Shipped
O000478,C01016,2023-08-27,Returned
O000479,C01578,2023-02-14,Delivered
O000480,C01487,2023-12-08,Cancelled
O000481,C00432,2024-07-06,Shipped
O000482,C00707,2024-05-24,Delivered
O000483,C00542,2023-02-21,Returned
O000484,C01400,2023-02-27,Cancelled
O000485,C00972,2023-10-13,Delivered
O000486,C01087,2023-08-05,Returned
O000487,C00025,2023-06-14,Delivered
O000488,C00200,2023-07-26,Shipped
O000489,C00725,2024-08-21,Returned
O000490,C01251,2024-11-14,Cancelled
O000491,C00559,2023-10-28,Delivered
O000492,C00547,2024-11-09,Returned
O000493,C00523,2023-08-04,Cancelled
O000494,C00802,2023-12-19,Delivered
O000495,C01383,2023-06-25,Cancelled
O000496,C01504,2024-03-08,Cancelled
O000497,C01578,2024-12-19,Delivered
O000498,C00692,2024-02-17,Cancelled
O000499,C00369,2023-09-23,Delivered
O000500,C00022,2024-04-18,Cancelled
O000501,C00025,2023-04-01,Delivered
O000502,C01076,2024-11-04,Delivered
O000503,C00914,2023-12-22,Delivered
O000504,C01486,2023-11-08,Delivered
O000505,C00396,2024-02-09,Delivered
O000506,C01269,2024-03-01,Delivered
O000507,C01228,2023-02-02,Cancelled
O000508,C01451,2024-04-04,Delivered
O000509,C00267,2023-06-03,Delivered
O000510,C01565,2024-05-22,Cancelled
O000511,C00379,2024-09-19,Delivered
O000512,C00378,2024-08-23,Delivered
O000513,C00957,2024-01-10,Cancelled
O000514,C01309,2023-12-03,Delivered
O000515,C01576,2023-04-09,Delivered
O000516,C01368,2024-07-23,Returned
O000517,C00332,2023-07-25,Returned
O000518,C01592,2023-12-03,Delivered
O000519,C00796,2023-07-13,Delivered
O000520,C00543,2023-04-02,Delivered
O000521,C00143,2024-03-15,Delivered
O000522,C01250,2023-02-07,Delivered
O000523,C01322,2024-06-06,Delivered
O000524,C00295,2023-08-04,Shipped
O000525,C00218,2023-01-25,Delivered
O000526,C00212,2023-12-23,Delivered
O000527,C00145,2023-02-03,Shipped
O000528,C00514,2023-07-24,Returned
O000529,C00039,2024-05-15,Delivered
O000530,C01338,2023-02-05,Cancelled
O000531,C00078,2024-10-01,Cancelled
O000532,C00546,2023-01-13,Delivered
O000533,C01177,2023-07-23,Delivered
O000534,C01450,2024-06-17,Returned
O000535,C00894,2023-08-16,Delivered
O000536,C01491,2023-03-28,Returned
O000537,C01107,2023-09-26,Delivered
O000538,C00788,2023-07-01,Cancelled
O000539,C01598,2024-10-27,Delivered
O000540,C01097,2023-08-04,Delivered
O000541,C00621,2024-07-11,Delivered
O000542,C01295,2024-11-02,Cancelled
O000543,C00749,2023-11-03,Shipped
O000544,C00697,2024-11-28,Delivered
O000545,C00942,2023-10-27,Returned
O000546,C00594,2024-12-25,Cancelled
O000547,C00613,2023-03-07,Cancelled
O000548,C00219,2024-05-13,Cancelled
O000549,C00736,2023-12-23,Delivered
O000550,C01296,2023-10-03,Delivered
O000551,C00389,2024-03-24,Delivered
O000552,C00396,2024-05-02,Delivered
O000553,C00489,2023-01-24,Delivered
O000554,C00130,2023-05-13,Returned
O000555,C01318,2024-05-18,Delivered
O000556,C01094,2024-04-16,Returned
O000557,C00921,2024-12-26,Delivered
O000558,C00695,2024-06-02,Delivered
O000559,C01477,2024-12-11,Delivered
O000560,C00243,2024-05-13,Delivered
O000561,C01340,2023-08-26,Cancelled
O000562,C00939,2023-03-17,Cancelled
O000563,C01099,2024-07-28,Delivered
O000564,C01187,2024-03-24,Delivered
O000565,C01002,2023-02-03,Cancelled
O000566,C01267,2023-09-01,Delivered
O000567,C01437,2024-12-08,Cancelled
O000568,C00030,2023-12-05,Delivered
O000569,C00103,2023-11-21,Delivered
O000570,C00200,2023-11-27,Delivered
O000571,C00350,2023-06-20,Returned
O000572,C00131,2023-09-19,Returned
O000573,C00218,2023-09-27,Delivered
O000574,C01219,2023-02-16,Returned
O000575,C00452,2024-06-20,Delivered
O000576,C00416,2023-11-26,Delivered
O000577,C01512,2024-09-11,Cancelled
O000578,C00665,2024-10-13,Delivered
O000579,C01118,2023-06-22,Delivered
O000580,C01566,2024-04-11,Delivered
O000581,C00688,2023-12-19,Delivered
O000582,C00561,2024-11-04,Delivered
O000583,C00345,2023-06-25,Cancelled
O000584,C01134,2024-04-12,Delivered
O000585,C00499,2024-02-15,Shipped
O000586,C00274,2023-08-02,Delivered
O000587,C01295,2023-04-26,Shipped
O000588,C01593,2024-04-13,Delivered
O000589,C00998,2024-06-01,Delivered
O000590,C01448,2023-08-01,Cancelled
O000591,C00582,2024-03-19,Delivered
O000592,C01583,2023-10-23,Delivered
O000593,C00260,2024-05-23,Delivered
O000594,C00555,2023-06-05,Shipped
O000595,C00844,2024-11-15,Delivered
O000596,C00078,2023-07-06,Shipped
O000597,C01024,2023-09-06,Shipped
O000598,C01285,2023-02-03,Returned
O000599,C00617,2023-03-26,Delivered
O000600,C00010,2023-12-14,Shipped
O000601,C00394,2023-07-08,Delivered
O000602,C00196,2024-09-17,Shipped
O000603,C01040,2023-01-12,Delivered
O000604,C01578,2023-10-15,Cancelled
O000605,C00427,2023-09-22,Delivered
O000606,C00397,2023-01-02,Delivered
O000607,C00972,2023-04-26,Delivered
O000608,C00328,2023-11-06,Cancelled
O000609,C00111,2023-12-02,Cancelled
O000610,C00584,2023-10-12,Delivered
O000611,C00515,2023-12-14,Delivered
O000612,C01554,2024-02-20,Delivered
O000613,C00214,2023-01-02,Cancelled
O000614,C01101,2023-11-02,Delivered
O000615,C00060,2024-12-06,Delivered
O000616,C00238,2023-12-17,Delivered
O000617,C01478,2024-04-08,Delivered
O000618,C00668,2023-08-19,Delivered
O000619,C01531,2024-06-07,Cancelled
O000620,C00472,2024-06-11,Returned
O000621,C00668,2023-12-04,Delivered
O000622,C00486,2024-12-04,Cancelled
O000623,C00151,2023-04-14,Delivered
O000624,C00443,2023-01-19,Shipped
O000625,C00365,2024-06-15,Delivered
O000626,C00280,2024-08-12,Delivered
O000627,C00398,2023-04-24,Cancelled
O000628,C00415,2023-07-12,Delivered
O000629,C00123,2023-01-05,Delivered
O000630,C00228,2023-08-05,Returned
O000631,C00940,2024-06-15,Delivered
O000632,C01558,2023-12-06,Delivered
O000633,C00605,2023-09-08,Shipped
O000634,C01307,2023-10-06,Shipped
O000635,C01002,2023-01-06,Returned
O000636,C01212,2023-08-07,Delivered
O000637,C00948,2024-03-27,Delivered
O000638,C01496,2024-12-01,Delivered
O000639,C00506,2024-10-24,Delivered
O000640,C00011,2023-01-11,Delivered
O000641,C00083,2024-11-02,Delivered
O000642,C01575,2024-07-24,Shipped
O000643,C00872,2024-07-02,Shipped
O000644,C01427,2023-11-13,Returned
O000645,C00927,2023-10-04,Delivered
O000646,C00171,2023-08-08,Shipped
O000647,C00026,2023-02-25,Cancelled
O000648,C00833,2023-06-24,Delivered
O000649,C00606,2023-07-05,Delivered
O000650,C00186,2023-12-21,Delivered
O000651,C01371,2024-06-16,Delivered
O000652,C01441,2023-12-06,Delivered
O000653,C01169,2023-02-28,Cancelled
O000654,C00050,2024-12-19,Delivered
O000655,C01581,2024-12-15,Delivered
O000656,C01441,2024-07-28,Delivered
O000657,C00759,2024-12-06,Cancelled
O000658,C01442,2024-01-15,Cancelled
O000659,C01285,2024-12-01,Delivered
O000660,C00067,2023-02-13,Delivered
O000661,C01542,2023-09-14,Delivered
O000662,C01179,2023-06-23,Returned
O000663,C01271,2023-06-07,Delivered
O000664,C01055,2023-04-24,Cancelled
O000665,C00106,2024-03-12,Delivered
O000666,C00749,2024-07-13,Delivered
O000667,C00084,2024-02-20,Delivered
O000668,C00359,2023-04-12,Cancelled
O000669,C01444,2024-08-18,Delivered
O000670,C01585,2024-03-18,Delivered
O000671,C00489,2023-10-05,Shipped
O000672,C01330,2024-04-04,Delivered
O000673,C01440,2023-07-24,Delivered
O000674,C01559,2023-09-25,Delivered
O000675,C00723,2024-11-11,Delivered
O000676,C01394,2023-07-17,Delivered
O000677,C00130,2023-11-09,Delivered
O000678,C00927,2024-11-12,Delivered
O000679,C01079,2024-05-17,Returned
O000680,C00963,2023-02-04,Cancelled
O000681,C01092,2023-04-18,Delivered
O000682,C00754,2023-01-15,Returned
O000683,C01420,2024-03-22,Returned
O000684,C00386,2023-11-03,Delivered
O000685,C00801,2023-04-03,Delivered
O000686,C00158,2024-12-10,Delivered
O000687,C00566,2023-12-06,Delivered
O000688,C00304,2023-06-23,Delivered
O000689,C00419,2023-12-05,Shipped
O000690,C00047,2024-04-21,Delivered
O000691,C01398,2023-02-14,Shipped
O000692,C00971,2023-07-05,Delivered
O000693,C00910,2024-08-14,Cancelled
O000694,C00598,2023-11-21,Delivered
O000695,C00046,2024-01-03,Returned
O000696,C00476,2023-11-26,Returned
O000697,C01321,2023-02-17,Delivered
