order_item_id,order_id,customer_id,product_id,category,product_name,order_date,order_status,quantity,unit_price,discount_pct,line_revenue,review_score,estimated_delivery_date,actual_delivery_date,delay_days
OI000019,O002838,C01480,P0076,Home & Kitchen,Table Lamp,2023-10-17,Shipped,1,8191.74,0.0,8191.74,,,,
OI000020,O002838,C01480,P0031,Fashion,Cotton T-Shirt,2023-10-17,Shipped,1,2125.78,0.0,2125.78,,,,
OI000021,O000352,C00640,P0054,Fashion,Analog Watch - Variant 3,2024-09-25,Cancelled,1,2227.8,0.0,2227.8,,,,
OI000022,O003997,C00654,P0048,Fashion,Sunglasses - Variant 3,2023-08-27,Delivered,1,3922.55,5.0,3726.42,4.0,2023-08-31,2023-08-30,-1.0
OI000023,O003997,C00654,P0212,Grocery,Basmati Rice 5kg - Variant 2,2023-08-27,Delivered,2,181.25,0.0,362.5,4.0,2023-08-31,2023-08-30,-1.0
OI000024,O002554,C00945,P0199,Toys & Baby,Educational Tablet,2024-10-21,Shipped,1,3024.68,0.0,3024.68,,,,
OI000025,O002554,C00945,P0175,Books,History Book,2024-10-21,Shipped,3,436.15,0.0,1308.45,,,,
OI000026,O002886,C00138,P0019,Electronics,Gaming Mouse,2023-06-01,Delivered,1,14263.93,0.0,14263.93,5.0,2023-06-08,2023-06-07,-1.0
OI000027,O001271,C01022,P0018,Electronics,USB-C Hub - Variant 3,2023-06-09,Cancelled,1,43480.94,5.0,41306.89,,,,
OI000028,O003656,C01517,P0065,Home & Kitchen,Electric Kettle - Variant 2,2024-04-11,Delivered,1,260.18,15.0,221.15,4.0,2024-04-17,2024-04-17,0.0
OI000029,O003656,C01517,P0116,Beauty & Personal Care,Face Wash - Variant 2,2024-04-11,Delivered,1,2403.95,0.0,2403.95,4.0,2024-04-17,2024-04-17,0.0
OI000030,O001619,C00211,P0031,Fashion,Cotton T-Shirt,2024-11-22,Delivered,1,2125.78,0.0,2125.78,5.0,2024-11-29,2024-11-27,-2.0
OI000031,O001619,C00211,P0109,Beauty & Personal Care,Perfume,2024-11-22,Delivered,1,1042.66,10.0,938.39,5.0,2024-11-29,2024-11-27,-2.0
OI000032,O002013,C01319,P0092,Beauty & Personal Care,Face Serum - Variant 2,2023-12-14,Delivered,1,2780.61,0.0,2780.61,4.0,2023-12-21,2023-12-19,-2.0
OI000033,O002013,C01319,P0170,Books,Comic Book Bundle - Variant 2,2023-12-14,Delivered,3,525.76,10.0,1419.55,4.0,2023-12-21,2023-12-19,-2.0
OI000034,O002013,C01319,P0104,Beauty & Personal Care,Lipstick Set - Variant 2,2023-12-14,Delivered,1,393.27,10.0,353.94,4.0,2023-12-21,2023-12-19,-2.0
OI000035,O002013,C01319,P0003,Electronics,Wireless Earbuds - Variant 3,2023-12-14,Delivered,2,7696.02,15.0,13083.23,4.0,2023-12-21,2023-12-19,-2.0
OI000036,O002706,C00548,P0179,Books,Travel Guide - Variant 2,2023-10-21,Delivered,1,122.86,0.0,122.86,3.0,2023-10-26,2023-10-27,1.0
OI000037,O002706,C00548,P0153,Books,Self-Help Bestseller - Variant 3,2023-10-21,Delivered,1,752.48,0.0,752.48,3.0,2023-10-26,2023-10-27,1.0
OI000038,O001993,C01390,P0077,Home & Kitchen,Table Lamp - Variant 2,2024-02-02,Returned,2,1474.07,0.0,2948.14,4.0,2024-02-06,2024-02-06,0.0
OI000039,O001993,C01390,P0088,Home & Kitchen,Curtains,2024-02-02,Returned,1,5876.52,0.0,5876.52,4.0,2024-02-06,2024-02-06,0.0
OI000040,O001877,C00616,P0100,Beauty & Personal Care,Electric Trimmer,2024-11-08,Delivered,1,2671.55,0.0,2671.55,5.0,2024-11-13,2024-11-12,-1.0
OI000041,O001877,C00616,P0096,Beauty & Personal Care,Sunscreen SPF50 - Variant 3,2024-11-08,Delivered,1,369.0,0.0,369.0,5.0,2024-11-13,2024-11-12,-1.0
OI000042,O003303,C00248,P0054,Fashion,Analog Watch - Variant 3,2023-07-18,Cancelled,1,2227.8,0.0,2227.8,,,,
OI000043,O003438,C01501,P0078,Home & Kitchen,Table Lamp - Variant 3,2024-06-25,Delivered,1,8872.72,0.0,8872.72,3.0,2024-07-01,2024-07-01,0.0
OI000044,O003791,C01432,P0110,Beauty & Personal Care,Perfume - Variant 2,2023-06-12,Delivered,1,1982.94,10.0,1784.65,4.0,2023-06-18,2023-06-18,0.0
OI000045,O003791,C01432,P0159,Books,Cookbook - Variant 3,2023-06-12,Delivered,1,467.06,0.0,467.06,4.0,2023-06-18,2023-06-18,0.0
OI000046,O003211,C01307,P0151,Books,Self-Help Bestseller,2023-07-02,Returned,1,145.51,0.0,145.51,5.0,2023-07-09,2023-07-09,0.0
OI000047,O003060,C01327,P0236,Grocery,Breakfast Cereal - Variant 2,2024-11-28,Returned,1,66.62,0.0,66.62,5.0,2024-12-04,2024-12-03,-1.0
OI000048,O003060,C01327,P0123,Sports & Fitness,Yoga Mat - Variant 3,2024-11-28,Returned,1,402.56,15.0,342.18,5.0,2024-12-04,2024-12-03,-1.0
OI000049,O003060,C01327,P0163,Books,Biography,2024-11-28,Returned,1,958.38,0.0,958.38,5.0,2024-12-04,2024-12-03,-1.0
OI000050,O002828,C00838,P0158,Books,Cookbook - Variant 2,2023-06-02,Cancelled,1,851.38,20.0,681.1,,,,
OI000051,O002828,C00838,P0152,Books,Self-Help Bestseller - Variant 2,2023-06-02,Cancelled,1,585.57,0.0,585.57,,,,
OI000052,O000835,C00936,P0011,Electronics,Power Bank 10000mAh - Variant 2,2023-06-13,Shipped,2,27843.9,0.0,55687.8,,,,
OI000053,O000835,C00936,P0174,Books,Poetry Collection - Variant 3,2023-06-13,Shipped,2,670.58,0.0,1341.16,,,,
OI000054,O000835,C00936,P0126,Sports & Fitness,Adjustable Dumbbells - Variant 3,2023-06-13,Shipped,1,2271.81,15.0,1931.04,,,,
OI000055,O000835,C00936,P0009,Electronics,Smartwatch - Variant 3,2023-06-13,Shipped,1,14247.51,0.0,14247.51,,,,
OI000056,O001658,C00419,P0128,Sports & Fitness,Resistance Bands - Variant 2,2024-06-13,Cancelled,1,1434.6,0.0,1434.6,,,,
OI000057,O003331,C01299,P0082,Home & Kitchen,Vacuum Cleaner,2024-05-19,Delivered,1,5774.06,0.0,5774.06,5.0,2024-05-25,2024-05-24,-1.0
OI000058,O002789,C01488,P0090,Home & Kitchen,Curtains - Variant 3,2024-02-22,Delivered,2,8442.22,0.0,16884.44,3.0,2024-02-28,2024-02-28,0.0
OI000059,O002789,C01488,P0008,Electronics,Smartwatch - Variant 2,2024-02-22,Delivered,1,8836.66,0.0,8836.66,3.0,2024-02-28,2024-02-28,0.0
OI000060,O000073,C00525,P0066,Home & Kitchen,Electric Kettle - Variant 3,2024-05-19,Delivered,2,3872.22,0.0,7744.44,4.0,2024-05-26,2024-05-25,-1.0
OI000061,O000073,C00525,P0180,Books,Travel Guide - Variant 3,2024-05-19,Delivered,1,945.21,0.0,945.21,4.0,2024-05-26,2024-05-25,-1.0
OI000062,O002291,C00782,P0122,Sports & Fitness,Yoga Mat - Variant 2,2023-06-18,Delivered,1,6428.59,10.0,5785.73,2.0,2023-06-24,2023-06-27,3.0
OI000063,O001423,C00196,P0221,Grocery,Green Tea Pack - Variant 2,2024-12-25,Cancelled,1,172.01,0.0,172.01,,,,
OI000064,O001979,C00407,P0205,Toys & Baby,Kids Bicycle,2024-11-23,Delivered,1,3182.03,5.0,3022.93,3.0,2024-11-28,2024-11-30,2.0
OI000065,O000767,C00568,P0099,Beauty & Personal Care,Hair Dryer - Variant 3,2024-07-25,Delivered,1,2204.27,0.0,2204.27,3.0,2024-08-01,2024-08-10,9.0
OI000066,O001439,C00026,P0193,Toys & Baby,Puzzle Set,2023-02-22,Shipped,1,2611.49,0.0,2611.49,,,,
OI000067,O001439,C00026,P0138,Sports & Fitness,Fitness Tracker - Variant 3,2023-02-22,Shipped,2,3724.99,10.0,6704.98,,,,
OI000068,O001261,C01193,P0198,Toys & Baby,Baby Feeding Bottle - Variant 3,2024-11-17,Delivered,1,1290.69,0.0,1290.69,4.0,2024-11-22,2024-11-24,2.0
OI000069,O001244,C01106,P0026,Electronics,4K Webcam - Variant 2,2024-02-26,Shipped,2,43655.64,0.0,87311.28,,,,
OI000070,O001244,C01106,P0109,Beauty & Personal Care,Perfume,2024-02-26,Shipped,1,1042.66,0.0,1042.66,,,,
OI000071,O003119,C01437,P0177,Books,History Book - Variant 3,2023-10-02,Delivered,1,691.82,15.0,588.05,4.0,2023-10-07,2023-10-10,3.0
OI000072,O002395,C00651,P0151,Books,Self-Help Bestseller,2024-04-14,Returned,1,145.51,0.0,145.51,4.0,2024-04-21,2024-04-23,2.0
OI000073,O000663,C01271,P0159,Books,Cookbook - Variant 3,2023-06-07,Delivered,1,467.06,0.0,467.06,4.0,2023-06-14,2023-06-15,1.0
OI000074,O000663,C01271,P0226,Grocery,Honey 500g,2023-06-07,Delivered,1,1175.86,10.0,1058.27,4.0,2023-06-14,2023-06-15,1.0
OI000075,O000663,C01271,P0090,Home & Kitchen,Curtains - Variant 3,2023-06-07,Delivered,2,8442.22,5.0,16040.22,4.0,2023-06-14,2023-06-15,1.0
OI000076,O000663,C01271,P0176,Books,History Book - Variant 2,2023-06-07,Delivered,1,551.82,0.0,551.82,4.0,2023-06-14,2023-06-15,1.0
OI000077,O000346,C01070,P0126,Sports & Fitness,Adjustable Dumbbells - Variant 3,2024-11-23,Delivered,1,2271.81,0.0,2271.81,4.0,2024-11-30,2024-12-02,2.0
OI000078,O003914,C01414,P0007,Electronics,Smartwatch,2023-12-09,Returned,1,37593.96,5.0,35714.26,3.0,2023-12-14,2023-12-17,3.0
OI000079,O003914,C01414,P0098,Beauty & Personal Care,Hair Dryer - Variant 2,2023-12-09,Returned,1,1082.19,0.0,1082.19,3.0,2023-12-14,2023-12-17,3.0
OI000080,O003682,C00084,P0010,Electronics,Power Bank 10000mAh,2024-11-15,Delivered,1,19891.97,0.0,19891.97,5.0,2024-11-19,2024-11-17,-2.0
OI000081,O001745,C00481,P0125,Sports & Fitness,Adjustable Dumbbells - Variant 2,2023-06-19,Delivered,1,6755.25,0.0,6755.25,5.0,2023-06-25,2023-06-25,0.0
OI000082,O001745,C00481,P0195,Toys & Baby,Puzzle Set - Variant 3,2023-06-19,Delivered,1,2663.56,0.0,2663.56,5.0,2023-06-25,2023-06-25,0.0
OI000083,O002952,C00456,P0232,Grocery,Coffee Powder,2024-01-03,Delivered,1,1130.77,0.0,1130.77,3.0,2024-01-09,2024-01-11,2.0
OI000084,O002546,C00619,P0023,Electronics,Mechanical Keyboard - Variant 2,2024-04-09,Shipped,1,12238.08,0.0,12238.08,,,,
OI000085,O004002,C00840,P0122,Sports & Fitness,Yoga Mat - Variant 2,2024-12-12,Delivered,1,6428.59,10.0,5785.73,3.0,2024-12-19,2024-12-21,2.0
OI000086,O003282,C01282,P0065,Home & Kitchen,Electric Kettle - Variant 2,2023-06-06,Delivered,1,260.18,0.0,260.18,3.0,2023-06-13,2023-06-16,3.0
OI000087,O003282,C01282,P0140,Sports & Fitness,Skipping Rope - Variant 2,2023-06-06,Delivered,2,5002.18,0.0,10004.36,3.0,2023-06-13,2023-06-16,3.0
OI000088,O002630,C00235,P0024,Electronics,Mechanical Keyboard - Variant 3,2024-04-09,Delivered,1,14577.63,0.0,14577.63,4.0,2024-04-15,2024-04-18,3.0
OI000089,O003496,C00780,P0022,Electronics,Mechanical Keyboard,2023-04-07,Shipped,1,2319.97,20.0,1855.98,,,,
OI000090,O003496,C00780,P0063,Home & Kitchen,Non-stick Cookware Set - Variant 3,2023-04-07,Shipped,1,2204.83,0.0,2204.83,,,,
OI000091,O003496,C00780,P0186,Toys & Baby,Remote Control Car - Variant 3,2023-04-07,Shipped,1,486.61,0.0,486.61,,,,
OI000092,O003496,C00780,P0213,Grocery,Basmati Rice 5kg - Variant 3,2023-04-07,Shipped,2,132.46,0.0,264.92,,,,
OI000093,O001044,C00695,P0184,Toys & Baby,Remote Control Car,2023-11-17,Delivered,3,3368.99,0.0,10106.97,3.0,2023-11-23,2023-11-26,3.0
OI000094,O001044,C00695,P0162,Books,Children's Story Set - Variant 3,2023-11-17,Delivered,1,693.18,5.0,658.52,3.0,2023-11-23,2023-11-26,3.0
OI000095,O000129,C00625,P0237,Grocery,Breakfast Cereal - Variant 3,2023-07-02,Shipped,1,111.58,0.0,111.58,,,,
OI000096,O000153,C00717,P0025,Electronics,4K Webcam,2024-11-06,Shipped,1,24964.59,0.0,24964.59,,,,
OI000097,O003543,C00979,P0117,Beauty & Personal Care,Face Wash - Variant 3,2024-09-04,Delivered,1,1772.02,0.0,1772.02,3.0,2024-09-08,2024-09-17,9.0
OI000098,O003543,C00979,P0098,Beauty & Personal Care,Hair Dryer - Variant 2,2024-09-04,Delivered,1,1082.19,0.0,1082.19,3.0,2024-09-08,2024-09-17,9.0
OI000099,O003543,C00979,P0192,Toys & Baby,Soft Toy - Variant 3,2024-09-04,Delivered,1,2255.96,5.0,2143.16,3.0,2024-09-08,2024-09-17,9.0
OI000100,O003543,C00979,P0087,Home & Kitchen,Cutlery Set - Variant 3,2024-09-04,Delivered,2,4705.42,0.0,9410.84,3.0,2024-09-08,2024-09-17,9.0
OI000101,O000414,C00799,P0062,Home & Kitchen,Non-stick Cookware Set - Variant 2,2023-10-10,Shipped,1,2997.43,0.0,2997.43,,,,
OI000102,O003734,C00882,P0155,Books,Fiction Novel - Variant 2,2023-07-04,Delivered,2,814.67,0.0,1629.34,5.0,2023-07-08,2023-07-06,-2.0
OI000103,O003734,C00882,P0121,Sports & Fitness,Yoga Mat,2023-07-04,Delivered,3,6600.07,0.0,19800.21,5.0,2023-07-08,2023-07-06,-2.0
OI000104,O000397,C00427,P0009,Electronics,Smartwatch - Variant 3,2023-04-13,Returned,1,14247.51,0.0,14247.51,5.0,2023-04-20,2023-04-18,-2.0
OI000105,O000397,C00427,P0083,Home & Kitchen,Vacuum Cleaner - Variant 2,2023-04-13,Returned,1,993.55,0.0,993.55,5.0,2023-04-20,2023-04-18,-2.0
OI000106,O002307,C01321,P0080,Home & Kitchen,Storage Organizer - Variant 2,2024-12-27,Cancelled,1,2290.21,0.0,2290.21,,,,
OI000107,O002307,C01321,P0142,Sports & Fitness,Gym Bag,2024-12-27,Cancelled,2,2815.41,0.0,5630.82,,,,
OI000108,O003066,C01306,P0199,Toys & Baby,Educational Tablet,2024-11-15,Cancelled,1,3024.68,0.0,3024.68,,,,
OI000109,O003066,C01306,P0181,Toys & Baby,Building Blocks Set,2024-11-15,Cancelled,1,1449.37,0.0,1449.37,,,,
OI000110,O000694,C00598,P0219,Grocery,Assorted Snacks Box - Variant 3,2023-11-21,Delivered,1,154.51,0.0,154.51,4.0,2023-11-25,2023-11-25,0.0
OI000111,O000694,C00598,P0116,Beauty & Personal Care,Face Wash - Variant 2,2023-11-21,Delivered,1,2403.95,5.0,2283.75,4.0,2023-11-25,2023-11-25,0.0
OI000112,O004196,C00463,P0056,Fashion,Sneakers - Variant 2,2024-04-04,Cancelled,1,1660.83,0.0,1660.83,,,,
OI000113,O004196,C00463,P0158,Books,Cookbook - Variant 2,2024-04-04,Cancelled,1,851.38,0.0,851.38,,,,
OI000114,O002202,C00917,P0106,Beauty & Personal Care,Moisturizer,2024-06-11,Returned,1,1690.33,0.0,1690.33,3.0,2024-06-18,2024-06-21,3.0
OI000115,O002194,C00308,P0025,Electronics,4K Webcam,2023-12-17,Delivered,1,24964.59,0.0,24964.59,2.0,2023-12-24,2023-12-27,3.0
OI000116,O001522,C00684,P0003,Electronics,Wireless Earbuds - Variant 3,2024-02-07,Delivered,1,7696.02,10.0,6926.42,4.0,2024-02-12,2024-02-14,2.0
OI000117,O001522,C00684,P0176,Books,History Book - Variant 2,2024-02-07,Delivered,1,551.82,0.0,551.82,4.0,2024-02-12,2024-02-14,2.0
OI000118,O002508,C01405,P0033,Fashion,Cotton T-Shirt - Variant 3,2023-04-04,Shipped,1,1619.39,0.0,1619.39,,,,
OI000119,O000814,C01368,P0152,Books,Self-Help Bestseller - Variant 2,2024-04-03,Delivered,1,585.57,15.0,497.73,3.0,2024-04-09,2024-04-10,1.0
OI000120,O000814,C01368,P0221,Grocery,Green Tea Pack - Variant 2,2024-04-03,Delivered,3,172.01,0.0,516.03,3.0,2024-04-09,2024-04-10,1.0
OI000121,O001762,C01055,P0173,Books,Poetry Collection - Variant 2,2023-01-22,Delivered,1,457.65,0.0,457.65,3.0,2023-01-29,2023-01-31,2.0
OI000122,O001762,C01055,P0200,Toys & Baby,Educational Tablet - Variant 2,2023-01-22,Delivered,1,2664.42,0.0,2664.42,3.0,2023-01-29,2023-01-31,2.0
OI000123,O001762,C01055,P0008,Electronics,Smartwatch - Variant 2,2023-01-22,Delivered,1,8836.66,15.0,7511.16,3.0,2023-01-29,2023-01-31,2.0
OI000124,O003387,C00542,P0240,Grocery,Spice Combo Pack - Variant 3,2024-07-10,Returned,1,1454.49,10.0,1309.04,1.0,2024-07-14,2024-07-24,10.0
OI000125,O001009,C01326,P0130,Sports & Fitness,Cricket Bat,2024-02-01,Shipped,1,4118.41,0.0,4118.41,,,,
OI000126,O004092,C01317,P0114,Beauty & Personal Care,Shampoo Combo - Variant 3,2024-03-18,Returned,1,2920.73,0.0,2920.73,4.0,2024-03-24,2024-03-27,3.0
OI000127,O000539,C01598,P0018,Electronics,USB-C Hub - Variant 3,2024-10-27,Delivered,2,43480.94,10.0,78265.69,5.0,2024-11-01,2024-11-01,0.0
OI000128,O003907,C00359,P0129,Sports & Fitness,Resistance Bands - Variant 3,2024-01-23,Delivered,1,6571.24,0.0,6571.24,2.0,2024-01-27,2024-01-29,2.0
OI000129,O003141,C00709,P0047,Fashion,Sunglasses - Variant 2,2023-08-26,Delivered,1,3874.69,0.0,3874.69,3.0,2023-09-02,2023-09-04,2.0
OI000130,O003141,C00709,P0119,Beauty & Personal Care,Nail Care Kit - Variant 2,2023-08-26,Delivered,1,913.24,20.0,730.59,3.0,2023-09-02,2023-09-04,2.0
OI000131,O003141,C00709,P0071,Home & Kitchen,Blender - Variant 2,2023-08-26,Delivered,1,8668.54,0.0,8668.54,3.0,2023-09-02,2023-09-04,2.0
OI000132,O003141,C00709,P0179,Books,Travel Guide - Variant 2,2023-08-26,Delivered,1,122.86,0.0,122.86,3.0,2023-09-02,2023-09-04,2.0
OI000133,O003637,C01233,P0145,Sports & Fitness,Badminton Racket,2023-05-18,Delivered,1,2218.83,0.0,2218.83,2.0,2023-05-25,2023-05-26,1.0
OI000134,O003637,C01233,P0100,Beauty & Personal Care,Electric Trimmer,2023-05-18,Delivered,1,2671.55,0.0,2671.55,2.0,2023-05-25,2023-05-26,1.0
OI000135,O003464,C00325,P0206,Toys & Baby,Kids Bicycle - Variant 2,2024-09-18,Returned,1,1218.7,5.0,1157.77,1.0,2024-09-25,2024-10-05,10.0
OI000136,O000817,C00569,P0237,Grocery,Breakfast Cereal - Variant 3,2024-01-05,Shipped,1,111.58,0.0,111.58,,,,
OI000137,O000748,C01491,P0138,Sports & Fitness,Fitness Tracker - Variant 3,2023-03-14,Delivered,1,3724.99,10.0,3352.49,3.0,2023-03-18,2023-03-21,3.0
OI000138,O004181,C00422,P0168,Books,Business Strategy Book - Variant 3,2023-04-26,Returned,1,140.4,0.0,140.4,3.0,2023-05-03,2023-05-06,3.0
OI000139,O002747,C01338,P0186,Toys & Baby,Remote Control Car - Variant 3,2024-05-26,Returned,2,486.61,0.0,973.22,4.0,2024-05-30,2024-05-31,1.0
OI000140,O000650,C00186,P0013,Electronics,Laptop Stand,2023-12-21,Delivered,1,20958.29,0.0,20958.29,5.0,2023-12-27,2023-12-25,-2.0
OI000141,O000650,C00186,P0065,Home & Kitchen,Electric Kettle - Variant 2,2023-12-21,Delivered,1,260.18,10.0,234.16,5.0,2023-12-27,2023-12-25,-2.0
OI000142,O003622,C00461,P0150,Sports & Fitness,Protein Shaker - Variant 3,2023-09-10,Shipped,1,4472.37,0.0,4472.37,,,,
OI000143,O003622,C00461,P0031,Fashion,Cotton T-Shirt,2023-09-10,Shipped,1,2125.78,5.0,2019.49,,,,
OI000144,O002370,C01479,P0179,Books,Travel Guide - Variant 2,2024-06-07,Delivered,1,122.86,10.0,110.57,2.0,2024-06-12,2024-06-15,3.0
OI000145,O002468,C01063,P0133,Sports & Fitness,Football,2024-04-16,Delivered,1,6177.4,10.0,5559.66,2.0,2024-04-20,2024-04-21,1.0
OI000146,O001090,C00886,P0126,Sports & Fitness,Adjustable Dumbbells - Variant 3,2023-11-04,Cancelled,1,2271.81,5.0,2158.22,,,,
OI000147,O001230,C00301,P0045,Fashion,Leather Wallet - Variant 3,2023-11-20,Cancelled,1,4468.9,0.0,4468.9,,,,
OI000148,O002494,C01001,P0231,Grocery,Almonds 250g - Variant 3,2024-06-01,Returned,1,219.41,15.0,186.5,2.0,2024-06-07,2024-06-10,3.0
OI000149,O002859,C00757,P0116,Beauty & Personal Care,Face Wash - Variant 2,2024-06-27,Delivered,1,2403.95,0.0,2403.95,4.0,2024-07-01,2024-06-29,-2.0
OI000150,O001172,C00968,P0076,Home & Kitchen,Table Lamp,2023-03-12,Returned,1,8191.74,0.0,8191.74,4.0,2023-03-18,2023-03-20,2.0
OI000151,O002931,C00510,P0219,Grocery,Assorted Snacks Box - Variant 3,2023-05-18,Delivered,1,154.51,5.0,146.78,5.0,2023-05-22,2023-05-21,-1.0
OI000152,O001684,C00904,P0042,Fashion,Formal Shirt - Variant 3,2023-07-13,Delivered,1,1854.22,0.0,1854.22,4.0,2023-07-20,2023-07-19,-1.0
OI000153,O001684,C00904,P0011,Electronics,Power Bank 10000mAh - Variant 2,2023-07-13,Delivered,1,27843.9,5.0,26451.71,4.0,2023-07-20,2023-07-19,-1.0
OI000154,O002174,C01325,P0075,Home & Kitchen,Bed Sheet Set - Variant 3,2023-12-02,Delivered,2,652.01,0.0,1304.02,3.0,2023-12-08,2023-12-09,1.0
OI000155,O001102,C01462,P0154,Books,Fiction Novel,2023-07-21,Delivered,1,563.67,15.0,479.12,3.0,2023-07-28,2023-07-30,2.0
OI000156,O000164,C01120,P0085,Home & Kitchen,Cutlery Set,2024-12-07,Shipped,1,557.82,0.0,557.82,,,,
OI000157,O000846,C00821,P0110,Beauty & Personal Care,Perfume - Variant 2,2024-11-13,Cancelled,1,1982.94,10.0,1784.65,,,,
OI000158,O000556,C01094,P0029,Electronics,Smartphone Case - Variant 2,2024-04-16,Returned,1,4711.37,0.0,4711.37,4.0,2024-04-23,2024-04-22,-1.0
OI000159,O002579,C00014,P0176,Books,History Book - Variant 2,2023-05-21,Returned,1,551.82,0.0,551.82,4.0,2023-05-25,2023-05-28,3.0
OI000160,O002579,C00014,P0040,Fashion,Formal Shirt,2023-05-21,Returned,1,1983.79,20.0,1587.03,4.0,2023-05-25,2023-05-28,3.0
OI000161,O002264,C00021,P0215,Grocery,Cooking Oil 1L - Variant 2,2024-09-13,Shipped,1,557.83,0.0,557.83,,,,
OI000162,O002264,C00021,P0020,Electronics,Gaming Mouse - Variant 2,2024-09-13,Shipped,1,31043.1,15.0,26386.63,,,,
OI000163,O003135,C00341,P0051,Fashion,Backpack - Variant 3,2023-10-17,Delivered,1,446.72,0.0,446.72,2.0,2023-10-22,2023-10-23,1.0
OI000164,O002645,C01398,P0124,Sports & Fitness,Adjustable Dumbbells,2023-06-06,Cancelled,1,3167.83,0.0,3167.83,,,,
OI000165,O002645,C01398,P0125,Sports & Fitness,Adjustable Dumbbells - Variant 2,2023-06-06,Cancelled,2,6755.25,0.0,13510.5,,,,
OI000166,O002645,C01398,P0064,Home & Kitchen,Electric Kettle,2023-06-06,Cancelled,1,7397.53,20.0,5918.02,,,,
OI000167,O002223,C01280,P0002,Electronics,Wireless Earbuds - Variant 2,2024-06-28,Delivered,2,33154.13,5.0,62992.85,4.0,2024-07-04,2024-07-05,1.0
OI000168,O002223,C01280,P0100,Beauty & Personal Care,Electric Trimmer,2024-06-28,Delivered,1,2671.55,15.0,2270.82,4.0,2024-07-04,2024-07-05,1.0
OI000169,O002223,C01280,P0199,Toys & Baby,Educational Tablet,2024-06-28,Delivered,1,3024.68,10.0,2722.21,4.0,2024-07-04,2024-07-05,1.0
OI000170,O002564,C00601,P0191,Toys & Baby,Soft Toy - Variant 2,2023-04-10,Delivered,1,544.85,10.0,490.37,2.0,2023-04-16,2023-04-18,2.0
OI000171,O002564,C00601,P0207,Toys & Baby,Kids Bicycle - Variant 3,2023-04-10,Delivered,1,3333.53,0.0,3333.53,2.0,2023-04-16,2023-04-18,2.0
OI000172,O002564,C00601,P0168,Books,Business Strategy Book - Variant 3,2023-04-10,Delivered,1,140.4,0.0,140.4,2.0,2023-04-16,2023-04-18,2.0
OI000173,O000764,C00855,P0232,Grocery,Coffee Powder,2024-12-10,Delivered,1,1130.77,0.0,1130.77,3.0,2024-12-17,2024-12-15,-2.0
